iter	Passed	Remaining
0	0	76
1	1	68
2	2	64
3	2	58
4	3	57
5	3	56
6	4	55
7	4	54
8	5	54
9	5	53
10	6	53
11	7	52
12	7	52
13	8	52
14	9	52
15	10	52
16	10	52
17	11	52
18	12	52
19	12	51
20	13	51
21	14	51
22	15	50
23	15	50
24	16	49
25	16	48
26	17	47
27	18	46
28	18	45
29	19	44
30	19	43
31	20	42
32	20	42
33	21	41
34	21	40
35	22	39
36	22	38
37	24	40
38	25	39
39	25	38
40	26	38
41	26	36
42	27	35
43	27	35
44	28	34
45	28	33
46	29	32
47	30	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	36	23
61	37	23
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	49	8
85	50	8
86	50	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	57	0
