iter	Passed	Remaining
0	1	1014
1	2	1095
2	3	1087
3	3	991
4	4	930
5	5	883
6	6	857
7	6	831
8	9	1080
9	11	1136
10	12	1142
11	13	1124
12	14	1086
13	15	1076
14	16	1091
15	17	1061
16	17	1034
17	18	1009
18	19	985
19	19	975
20	20	955
21	21	944
22	21	931
23	23	968
24	24	967
25	26	986
26	27	976
27	27	969
28	28	956
29	29	943
30	29	931
31	31	944
32	31	936
33	32	926
34	33	915
35	34	914
36	34	905
37	35	899
38	36	897
39	38	928
40	41	965
41	42	965
42	43	958
43	43	948
44	44	939
45	45	935
46	46	943
47	47	935
48	47	927
49	48	928
50	49	922
51	50	914
52	50	908
53	51	905
54	53	921
55	54	921
56	55	923
57	56	919
58	57	915
59	58	909
60	58	902
61	59	898
62	59	892
63	60	885
64	61	880
65	62	887
66	63	883
67	64	883
68	65	880
69	66	880
70	67	888
71	68	887
72	70	894
73	71	900
74	72	897
75	73	893
76	74	890
77	74	885
78	75	879
79	76	874
80	76	872
81	78	880
82	79	875
83	79	872
84	80	866
85	82	876
86	84	883
87	85	883
88	85	879
89	86	875
90	87	870
91	87	866
92	88	865
93	89	865
94	90	861
95	90	856
96	91	851
97	91	846
98	92	840
99	92	836
100	93	831
101	93	826
102	96	839
103	97	842
104	99	845
105	100	843
106	100	840
107	101	837
108	101	833
109	102	830
110	103	830
111	104	827
112	104	823
113	105	819
114	105	814
115	106	811
116	107	809
117	107	805
118	108	801
119	108	798
120	111	806
121	111	804
122	113	807
123	114	805
124	114	803
125	115	800
126	115	797
127	116	794
128	117	794
129	118	792
130	119	789
131	119	787
132	120	784
133	120	781
134	121	778
135	122	775
136	122	771
137	123	768
138	123	765
139	126	776
140	127	776
141	128	775
142	129	773
143	129	772
144	130	769
145	131	767
146	131	764
147	133	766
148	134	765
149	134	763
150	135	760
151	135	757
152	136	754
153	136	751
154	137	748
155	137	745
156	138	742
157	141	753
158	142	752
159	143	752
160	143	750
161	144	748
162	145	748
163	146	746
164	147	747
165	148	745
166	148	742
167	149	739
168	149	736
169	150	733
170	150	730
171	151	727
172	151	726
173	152	724
174	152	721
175	153	719
176	156	726
177	157	726
178	158	726
179	159	724
180	160	724
181	160	721
182	161	718
183	161	716
184	162	714
185	162	711
186	163	709
187	163	706
188	164	705
189	164	703
190	165	700
191	166	699
192	166	696
193	167	694
194	167	692
195	168	689
196	169	691
197	171	694
198	172	692
199	173	692
200	173	690
201	174	688
202	174	686
203	175	684
204	175	682
205	176	679
206	176	677
207	177	675
208	177	673
209	178	670
210	178	669
211	179	667
212	180	665
213	180	663
214	181	661
215	181	659
216	182	657
217	182	655
218	183	653
219	184	654
220	185	654
221	186	654
222	187	652
223	188	651
224	188	649
225	189	648
226	189	646
227	190	644
228	190	642
229	191	640
230	191	638
231	192	636
232	192	634
233	193	632
234	193	630
235	194	629
236	194	627
237	195	625
238	195	623
239	196	621
240	196	619
241	197	618
242	197	616
243	198	614
244	199	615
245	200	614
246	201	613
247	201	611
248	202	610
249	202	608
250	203	606
251	203	604
252	204	602
253	204	601
254	205	599
255	206	598
256	206	597
257	207	596
258	208	595
259	208	593
260	209	592
261	209	591
262	210	589
263	210	588
264	211	586
265	212	585
266	212	583
267	213	582
268	214	581
269	214	580
270	216	581
271	216	580
272	217	578
273	217	577
274	218	575
275	218	574
276	219	572
277	219	571
278	220	569
279	221	568
280	221	567
281	222	565
282	222	564
283	223	562
284	223	561
285	224	559
286	224	558
287	225	556
288	225	555
289	226	554
290	226	552
291	227	551
292	227	550
293	228	548
294	230	550
295	231	549
296	231	548
297	232	547
298	233	546
299	234	546
300	234	545
301	235	543
302	236	544
303	237	543
304	237	542
305	238	540
306	238	539
307	239	537
308	239	536
309	240	535
310	240	533
311	241	532
312	241	531
313	242	529
314	242	528
315	245	530
316	246	531
317	247	530
318	247	528
319	248	527
320	249	527
321	249	525
322	250	524
323	250	523
324	251	521
325	251	520
326	252	518
327	252	517
328	253	516
329	253	514
330	253	513
331	254	511
332	254	510
333	255	509
334	255	508
335	256	506
336	256	505
337	257	504
338	257	502
339	259	503
340	260	502
341	260	501
342	261	500
343	262	499
344	262	498
345	263	497
346	263	496
347	264	494
348	264	493
349	265	492
350	265	490
351	266	489
352	266	488
353	266	487
354	267	486
355	268	484
356	268	483
357	269	482
358	269	481
359	270	480
360	270	479
361	271	477
362	271	476
363	272	475
364	272	474
365	273	473
366	274	473
367	275	472
368	275	471
369	276	470
370	276	469
371	277	468
372	277	467
373	278	465
374	278	464
375	279	463
376	279	462
377	280	461
378	280	460
379	281	459
380	281	457
381	282	456
382	282	455
383	283	454
384	283	453
385	284	452
386	284	451
387	285	450
388	285	448
389	286	447
390	286	446
391	287	445
392	288	445
393	289	445
394	290	445
395	291	444
396	291	443
397	292	442
398	292	441
399	293	439
400	293	438
401	294	437
402	294	436
403	295	435
404	295	434
405	296	433
406	296	432
407	297	431
408	297	430
409	298	429
410	298	428
411	299	427
412	299	426
413	300	425
414	301	424
415	301	423
416	302	422
417	302	421
418	303	420
419	304	420
420	304	419
421	305	418
422	306	417
423	306	416
424	307	415
425	308	415
426	308	414
427	309	413
428	309	412
429	310	411
430	310	410
431	311	409
432	311	408
433	312	407
434	313	406
435	313	406
436	314	405
437	315	404
438	315	403
439	316	402
440	317	401
441	319	403
442	320	403
